--- Report words in books/frankenstein.txt ---

7263 unique words found in file.

'am' was found 126 times.
'amassed' was found 1 times.
'amazed' was found 1 times.
'amazing' was found 1 times.
'ambition' was found 8 times.
'ameliorate' was found 1 times.
'amend' was found 1 times.
'america' was found 3 times.
'american' was found 1 times.
'amiable' was found 14 times.
'amid' was found 1 times.
'amidst' was found 8 times.
'among' was found 51 times.
'amongst' was found 1 times.
'amounted' was found 2 times.
'amphitheatre' was found 1 times.
'ample' was found 2 times.
'amuse' was found 2 times.
'amused' was found 1 times.
'amusement' was found 6 times.
'amusements' was found 1 times.
'an' was found 215 times.
'analysing' was found 1 times.
'analysis' was found 1 times.
'anatomize' was found 1 times.
'anatomy' was found 1 times.
'ancestors' was found 1 times.
'anchor' was found 1 times.
'ancient' was found 10 times.
'and' was found 3046 times.
'andes' was found 1 times.
'andrew' was found 1 times.
'anew' was found 3 times.
'angel' was found 9 times.
'angelic' was found 3 times.
'angelica' was found 1 times.
'anger' was found 5 times.
'angrily' was found 1 times.
'angry' was found 2 times.
'anguish' was found 24 times.
'animal' was found 9 times.
'animals' was found 4 times.
'animate' was found 2 times.
'animated' was found 7 times.
'animating' was found 1 times.
'animation' was found 7 times.
'annihilation' was found 3 times.
'announce' was found 2 times.
'announced' was found 1 times.
'annoyed' was found 1 times.
'annoying' was found 1 times.
'anon' was found 1 times.
'another' was found 47 times.
'answer' was found 21 times.
'answered' was found 7 times.
'answers' was found 1 times.
'antelope' was found 1 times.
'anticipated' was found 1 times.
'anticipation' was found 1 times.
'anticipations' was found 1 times.
'antipathy' was found 1 times.
'antique' was found 1 times.
'antiquity' was found 1 times.
'anxiety' was found 8 times.
'anxious' was found 5 times.
'anxiously' was found 2 times.
'any' was found 121 times.
'anyone' was found 9 times.
'anything' was found 8 times.
'anywhere' was found 2 times.
'apart' was found 2 times.
'apartment' was found 9 times.
'apartments' was found 1 times.
'apathy' was found 1 times.
'apothecary' was found 1 times.
'appalling' was found 5 times.
'apparatus' was found 3 times.
'apparel' was found 2 times.
'apparent' was found 5 times.
'apparently' was found 10 times.
'apparition' was found 5 times.
'appeal' was found 1 times.
'appeals' was found 1 times.
'appear' was found 23 times.
'appearance' was found 30 times.
'appearances' was found 4 times.
'appeared' was found 57 times.
'appearing' was found 2 times.
'appears' was found 8 times.
'appeased' was found 1 times.
'appertaining' was found 2 times.
'appetite' was found 4 times.
'apple' was found 1 times.
'applicable' was found 3 times.
'application' was found 7 times.
'applied' was found 5 times.
'apply' was found 8 times.
'appointment' was found 1 times.
'appreciate' was found 1 times.
'apprehended' was found 1 times.
'apprehending' was found 1 times.
'apprehension' was found 4 times.
'apprehensions' was found 2 times.
'approach' was found 11 times.
'approached' was found 19 times.
'approaching' was found 3 times.
'approbation' was found 2 times.
'appropriated' was found 1 times.
'approve' was found 2 times.
'approved' was found 1 times.
'apt' was found 1 times.
'arab' was found 1 times.
'arabian' was found 13 times.
'arabic' was found 2 times.
'arbiters' was found 1 times.
'arch' was found 2 times.
'archangel' was found 5 times.
'archive' was found 13 times.
'ardent' was found 10 times.
'ardently' was found 10 times.
'ardour' was found 13 times.
'arduous' was found 1 times.
'are' was found 195 times.
'argue' was found 1 times.
'argument' was found 2 times.
'arguments' was found 7 times.
'aright' was found 1 times.
'ariosto' was found 1 times.
'arise' was found 6 times.
'arisen' was found 1 times.
'arising' was found 1 times.
'arm' was found 6 times.
'armada' was found 1 times.
'armed' was found 1 times.
'arms' was found 9 times.
'arose' was found 9 times.
'around' was found 34 times.
'aroused' was found 1 times.
'arrange' was found 2 times.
'arranged' was found 4 times.
'arrangements' was found 1 times.
'arranging' was found 6 times.
'array' was found 1 times.
'arrest' was found 1 times.
'arrested' was found 1 times.
'arrival' was found 8 times.
'arrive' was found 12 times.
'arrived' was found 29 times.
'arrives' was found 1 times.
'arriving' was found 1 times.
'arrow' was found 1 times.
'arrowy' was found 1 times.
'art' was found 7 times.
'arteries' was found 1 times.
'artery' was found 1 times.
'arthur' was found 2 times.
'article' was found 1 times.
'articles' was found 1 times.
'articulate' was found 2 times.
'artifice' was found 1 times.
'artist' was found 1 times.
'arts' was found 2 times.
'arve' was found 3 times.
'arveiron' was found 1 times.
'as' was found 539 times.
'ascend' was found 5 times.
'ascended' was found 4 times.
'ascent' was found 3 times.
'ascertain' was found 1 times.
'ascertaining' was found 1 times.
'ascii' was found 2 times.
'ascribed' was found 2 times.
'ashamed' was found 1 times.
'ashes' was found 2 times.
'asia' was found 2 times.
'asiatics' was found 1 times.
'aside' was found 4 times.
'ask' was found 10 times.
'asked' was found 16 times.
'asks' was found 1 times.
'asleep' was found 2 times.
'aspect' was found 7 times.
'aspirations' was found 1 times.
'aspire' was found 1 times.
'aspired' was found 1 times.
'aspires' was found 1 times.
